Company,Phone,City,State,Website,Tags,Notes
SOTC (Thomas Cook Group),1800 209 3344,Mumbai,Maharashtra,https://www.sotc.in/,"india-agent,bhutan-package,national-brand",Public email not listed cleanly — collect branch/CRM email before Mailchimp import
Dooars Bhutan Tours (Jaigaon),,Jaigaon,West Bengal,https://dooarsbhutantours.com/,"india-agent,bhutan-package,jaigaon,dmc,b2b",Use contact form; add Email when collected
Indo Bhutan DMC (Delhi),,New Delhi,Delhi,https://indobhutandmc.com/,"india-agent,bhutan-package,delhi-ncr,dmc",Use contact form; add Email when collected
